gene,rank,tissue
MOBP,34,Inferior Parietal Lobule
TMTC2,35,Inferior Parietal Lobule
ATP10A,36,Inferior Parietal Lobule
PHLPP1,37,Inferior Parietal Lobule
MAP7,38,Inferior Parietal Lobule
FRMD4B,39,Inferior Parietal Lobule
DSCAM,40,Inferior Parietal Lobule
NCAM2,41,Inferior Parietal Lobule
DNM3,42,Inferior Parietal Lobule
DOCK10,43,Inferior Parietal Lobule
AGAP1,44,Inferior Parietal Lobule
NPAS3,45,Inferior Parietal Lobule
MBP,46,Inferior Parietal Lobule
LRP1B,47,Inferior Parietal Lobule
NRXN1,48,Inferior Parietal Lobule
ST6GALNAC3,49,Inferior Parietal Lobule
ANK2,50,Inferior Parietal Lobule
AUTS2,51,Inferior Parietal Lobule
KCNIP4,52,Inferior Parietal Lobule
MAN2A1,53,Inferior Parietal Lobule
PLCL1,54,Inferior Parietal Lobule
SLC5A11,55,Inferior Parietal Lobule
PALM2AKAP2,56,Inferior Parietal Lobule
SLC7A14-AS1,57,Inferior Parietal Lobule
LUC7L3,58,Inferior Parietal Lobule
PLXDC2,59,Inferior Parietal Lobule
DOCK4,60,Inferior Parietal Lobule
FRMD4A,61,Inferior Parietal Lobule
ADGRB3,62,Inferior Parietal Lobule
TCF12,63,Inferior Parietal Lobule
RBFOX1,64,Inferior Parietal Lobule
POLR2F,65,Inferior Parietal Lobule
LRRC4C,66,Inferior Parietal Lobule
ANKS1B,67,Inferior Parietal Lobule
NLGN1,68,Inferior Parietal Lobule
DIP2B,69,Inferior Parietal Lobule
MARCHF1,70,Inferior Parietal Lobule
UNC5C,71,Inferior Parietal Lobule
HIP1,72,Inferior Parietal Lobule
APBB2,73,Inferior Parietal Lobule
PITPNC1,74,Inferior Parietal Lobule
DPP10,75,Inferior Parietal Lobule
TNR,76,Inferior Parietal Lobule
EDIL3,77,Inferior Parietal Lobule
NCKAP5,78,Inferior Parietal Lobule
ERBB4,79,Inferior Parietal Lobule
NCAM1,80,Inferior Parietal Lobule
ZEB2,81,Inferior Parietal Lobule
CTNNA2,82,Inferior Parietal Lobule
PDE8A,83,Inferior Parietal Lobule
LAMA2,84,Inferior Parietal Lobule
DPYD,85,Inferior Parietal Lobule
LHFPL3,86,Inferior Parietal Lobule
CLASP2,87,Inferior Parietal Lobule
GPC5,88,Inferior Parietal Lobule
WWOX,89,Inferior Parietal Lobule
FLT1,90,Inferior Parietal Lobule
SLC1A2,91,Inferior Parietal Lobule
SHTN1,92,Inferior Parietal Lobule
SEPTIN7,93,Inferior Parietal Lobule
ARGLU1,94,Inferior Parietal Lobule
CSMD1,95,Inferior Parietal Lobule
XIST,96,Inferior Parietal Lobule
FTX,97,Inferior Parietal Lobule
ZSWIM6,98,Inferior Parietal Lobule
LIMCH1,99,Inferior Parietal Lobule
SLC6A1,100,Inferior Parietal Lobule
MALAT1,1,Inferior Temporal Gyrus
PCDH9,2,Inferior Temporal Gyrus
IL1RAPL1,3,Inferior Temporal Gyrus
PPP2R2B,4,Inferior Temporal Gyrus
CTNNA3,5,Inferior Temporal Gyrus
RNF220,6,Inferior Temporal Gyrus
SLC44A1,7,Inferior Temporal Gyrus
DLG2,8,Inferior Temporal Gyrus
QKI,9,Inferior Temporal Gyrus
TRIM2,10,Inferior Temporal Gyrus
MAGI2,11,Inferior Temporal Gyrus
DST,12,Inferior Temporal Gyrus
SLC5A11,13,Inferior Temporal Gyrus
LSAMP,14,Inferior Temporal Gyrus
MACF1,15,Inferior Temporal Gyrus
SIK3,16,Inferior Temporal Gyrus
DSCAM,17,Inferior Temporal Gyrus
NRXN3,18,Inferior Temporal Gyrus
SLC7A14-AS1,19,Inferior Temporal Gyrus
ST18,20,Inferior Temporal Gyrus
SLC24A2,21,Inferior Temporal Gyrus
FRMD5,22,Inferior Temporal Gyrus
PDE4B,23,Inferior Temporal Gyrus
RORA,24,Inferior Temporal Gyrus
MOBP,25,Inferior Temporal Gyrus
DPP10,26,Inferior Temporal Gyrus
PTPRG,27,Inferior Temporal Gyrus
CADM2,28,Inferior Temporal Gyrus
ZBTB20,29,Inferior Temporal Gyrus
LRP1B,30,Inferior Temporal Gyrus
PTPRD,31,Inferior Temporal Gyrus
FMNL2,32,Inferior Temporal Gyrus
NRXN1,33,Inferior Temporal Gyrus
TNR,34,Inferior Temporal Gyrus
PALM2AKAP2,35,Inferior Temporal Gyrus
NTM,36,Inferior Temporal Gyrus
DLC1,37,Inferior Temporal Gyrus
PHLPP1,38,Inferior Temporal Gyrus
LUC7L3,39,Inferior Temporal Gyrus
HSP90AA1,40,Inferior Temporal Gyrus
NEAT1,41,Inferior Temporal Gyrus
NCAM2,42,Inferior Temporal Gyrus
ATP10A,43,Inferior Temporal Gyrus
FRMD4A,44,Inferior Temporal Gyrus
LINC00486,45,Inferior Temporal Gyrus
ELMO1,46,Inferior Temporal Gyrus
MAP7,47,Inferior Temporal Gyrus
DOCK10,48,Inferior Temporal Gyrus
ADGRB3,49,Inferior Temporal Gyrus
DPYD,50,Inferior Temporal Gyrus
PLXDC2,51,Inferior Temporal Gyrus
FLT1,52,Inferior Temporal Gyrus
PIP4K2A,53,Inferior Temporal Gyrus
NPAS3,54,Inferior Temporal Gyrus
LRRC4C,55,Inferior Temporal Gyrus
LAMA2,56,Inferior Temporal Gyrus
NKAIN2,57,Inferior Temporal Gyrus
FRMD4B,58,Inferior Temporal Gyrus
GPM6A,59,Inferior Temporal Gyrus
TMTC2,60,Inferior Temporal Gyrus
CTNNA2,61,Inferior Temporal Gyrus
DNM3,62,Inferior Temporal Gyrus
PITPNC1,63,Inferior Temporal Gyrus
SGIP1,64,Inferior Temporal Gyrus
AGAP1,65,Inferior Temporal Gyrus
KCNIP4,66,Inferior Temporal Gyrus
DOCK4,67,Inferior Temporal Gyrus
POLR2F,68,Inferior Temporal Gyrus
ANK3,69,Inferior Temporal Gyrus
OPCML,70,Inferior Temporal Gyrus
PLCL1,71,Inferior Temporal Gyrus
AUTS2,72,Inferior Temporal Gyrus
LHFPL3,73,Inferior Temporal Gyrus
FTX,74,Inferior Temporal Gyrus
TCF12,75,Inferior Temporal Gyrus
WWOX,76,Inferior Temporal Gyrus
ANK2,77,Inferior Temporal Gyrus
SHTN1,78,Inferior Temporal Gyrus
NLGN1,79,Inferior Temporal Gyrus
CSMD1,80,Inferior Temporal Gyrus
MAN2A1,81,Inferior Temporal Gyrus
PRRC2C,82,Inferior Temporal Gyrus
MBP,83,Inferior Temporal Gyrus
GPC5,84,Inferior Temporal Gyrus
HIP1,85,Inferior Temporal Gyrus
DIP2B,86,Inferior Temporal Gyrus
CTNND2,87,Inferior Temporal Gyrus
SRCIN1,88,Inferior Temporal Gyrus
SLC6A1,89,Inferior Temporal Gyrus
SLC1A2,90,Inferior Temporal Gyrus
ARGLU1,91,Inferior Temporal Gyrus
CALD1,92,Inferior Temporal Gyrus
RBM25,93,Inferior Temporal Gyrus
UNC5C,94,Inferior Temporal Gyrus
EDIL3,95,Inferior Temporal Gyrus
TJP1,96,Inferior Temporal Gyrus
ST6GALNAC3,97,Inferior Temporal Gyrus
ANKS1B,98,Inferior Temporal Gyrus
SYNE1,99,Inferior Temporal Gyrus
APBB2,100,Inferior Temporal Gyrus
MALAT1,1,Insula
PCDH9,2,Insula
IL1RAPL1,3,Insula
PTPRG,4,Insula
PPP2R2B,5,Insula
RNF220,6,Insula
DLG2,7,Insula
QKI,8,Insula
CTNNA3,9,Insula
RORA,10,Insula
MACF1,11,Insula
DLC1,12,Insula
XIST,13,Insula
DST,14,Insula
ATP10A,15,Insula
ST6GALNAC3,16,Insula
DSCAM,17,Insula
MAGI2,18,Insula
LSAMP,19,Insula
LAMA2,20,Insula
FLT1,21,Insula
SLC44A1,22,Insula
NEAT1,23,Insula
DPP10,24,Insula
FRMD4A,25,Insula
PLXDC2,26,Insula
NRXN3,27,Insula
LRMDA,28,Insula
ZBTB20,29,Insula
TNR,30,Insula
PDE4B,31,Insula
ST18,32,Insula
CADM2,33,Insula
SLC24A2,34,Insula
SIK3,35,Insula
LRP1B,36,Insula
FMNL2,37,Insula
SLC6A1,38,Insula
TRIM2,39,Insula
NTM,40,Insula
FTX,41,Insula
THSD4,42,Insula
DOCK4,43,Insula
RBMS3,44,Insula
GPM6A,45,Insula
KCNIP4,46,Insula
LUC7L3,47,Insula
SYNE1,48,Insula
PRKG1,49,Insula
NRXN1,50,Insula
NPAS3,51,Insula
OPCML,52,Insula
GPC5,53,Insula
ELMO1,54,Insula
FRMD5,55,Insula
PTPRD,56,Insula
AGAP1,57,Insula
ZFHX3,58,Insula
LHFPL6,59,Insula
LRRC4C,60,Insula
PDE4D,61,Insula
AUTS2,62,Insula
CSMD1,63,Insula
LINC00486,64,Insula
SLC7A14-AS1,65,Insula
CTNNA2,66,Insula
LHFPL3,67,Insula
WWOX,68,Insula
CALD1,69,Insula
MECOM,70,Insula
APBB2,71,Insula
NKAIN2,72,Insula
SLC26A3,73,Insula
PIP4K2A,74,Insula
LPP,75,Insula
NCAM2,76,Insula
SLC5A11,77,Insula
DNM3,78,Insula
CACNA1C,79,Insula
PITPNC1,80,Insula
PDZD2,81,Insula
ABCB1,82,Insula
DOCK10,83,Insula
PTPRM,84,Insula
ARL15,85,Insula
MOBP,86,Insula
SLC39A10,87,Insula
PHLPP1,88,Insula
ZBTB16,89,Insula
FOXP1,90,Insula
KAZN,91,Insula
ELOVL7,92,Insula
MT-ND3,93,Insula
NRG3,94,Insula
PRRC2C,95,Insula
MAP7,96,Insula
SGIP1,97,Insula
TACC1,98,Insula
ATP1A2,99,Insula
UTRN,100,Insula
MALAT1,1,Lateral Occipital Cortex
PCDH9,2,Lateral Occipital Cortex
IL1RAPL1,3,Lateral Occipital Cortex
RNF220,4,Lateral Occipital Cortex
PPP2R2B,5,Lateral Occipital Cortex
DLG2,6,Lateral Occipital Cortex
QKI,7,Lateral Occipital Cortex
CTNNA3,8,Lateral Occipital Cortex
PTPRG,9,Lateral Occipital Cortex
NRXN3,10,Lateral Occipital Cortex
DST,11,Lateral Occipital Cortex
MACF1,12,Lateral Occipital Cortex
TRIM2,13,Lateral Occipital Cortex
SLC44A1,14,Lateral Occipital Cortex
MAGI2,15,Lateral Occipital Cortex
RORA,16,Lateral Occipital Cortex
ATP10A,17,Lateral Occipital Cortex
SLC24A2,18,Lateral Occipital Cortex
DLC1,19,Lateral Occipital Cortex
FMNL2,20,Lateral Occipital Cortex
LUC7L3,21,Lateral Occipital Cortex
PDE4B,22,Lateral Occipital Cortex
LAMA2,23,Lateral Occipital Cortex
FLT1,24,Lateral Occipital Cortex
ST18,25,Lateral Occipital Cortex
MT-ND3,26,Lateral Occipital Cortex
SIK3,27,Lateral Occipital Cortex
MT-CO3,28,Lateral Occipital Cortex
LINC00486,29,Lateral Occipital Cortex
LSAMP,30,Lateral Occipital Cortex
MT-CO2,31,Lateral Occipital Cortex
NEAT1,32,Lateral Occipital Cortex
ZBTB20,33,Lateral Occipital Cortex
FRMD5,34,Lateral Occipital Cortex
FRMD4A,35,Lateral Occipital Cortex
DSCAM,36,Lateral Occipital Cortex
MT-ND4,37,Lateral Occipital Cortex
MT-CO1,38,Lateral Occipital Cortex
MT-ATP6,39,Lateral Occipital Cortex
PLXDC2,40,Lateral Occipital Cortex
XIST,41,Lateral Occipital Cortex
ST6GALNAC3,42,Lateral Occipital Cortex
SLC6A1,43,Lateral Occipital Cortex
CALD1,44,Lateral Occipital Cortex
CADM2,45,Lateral Occipital Cortex
ELMO1,46,Lateral Occipital Cortex
NTM,47,Lateral Occipital Cortex
MOBP,48,Lateral Occipital Cortex
PTPRD,49,Lateral Occipital Cortex
RBM25,50,Lateral Occipital Cortex
MAP7,51,Lateral Occipital Cortex
PTH1R,52,Lateral Occipital Cortex
TNR,53,Lateral Occipital Cortex
SLC1A2,54,Lateral Occipital Cortex
PRRC2C,55,Lateral Occipital Cortex
LRP1B,56,Lateral Occipital Cortex
ARGLU1,57,Lateral Occipital Cortex
NKAIN2,58,Lateral Occipital Cortex
PITPNC1,59,Lateral Occipital Cortex
AGAP1,60,Lateral Occipital Cortex
CTNNA2,61,Lateral Occipital Cortex
DOCK4,62,Lateral Occipital Cortex
SLC5A11,63,Lateral Occipital Cortex
PHLPP1,64,Lateral Occipital Cortex
ANK3,65,Lateral Occipital Cortex
TIMP3,66,Lateral Occipital Cortex
HIP1,67,Lateral Occipital Cortex
SGIP1,68,Lateral Occipital Cortex
DPP10,69,Lateral Occipital Cortex
FRMD4B,70,Lateral Occipital Cortex
LRMDA,71,Lateral Occipital Cortex
FTX,72,Lateral Occipital Cortex
TMTC2,73,Lateral Occipital Cortex
KCNIP4,74,Lateral Occipital Cortex
NRXN1,75,Lateral Occipital Cortex
ATP1A2,76,Lateral Occipital Cortex
NPAS3,77,Lateral Occipital Cortex
POLR2F,78,Lateral Occipital Cortex
MBP,79,Lateral Occipital Cortex
DOCK10,80,Lateral Occipital Cortex
PIP4K2A,81,Lateral Occipital Cortex
AUTS2,82,Lateral Occipital Cortex
DNM3,83,Lateral Occipital Cortex
GPC5,84,Lateral Occipital Cortex
GPM6A,85,Lateral Occipital Cortex
THSD4,86,Lateral Occipital Cortex
APBB2,87,Lateral Occipital Cortex
GNG7,88,Lateral Occipital Cortex
RBMS3,89,Lateral Occipital Cortex
PDZD2,90,Lateral Occipital Cortex
SYNE1,91,Lateral Occipital Cortex
PLCL1,92,Lateral Occipital Cortex
RBFOX1,93,Lateral Occipital Cortex
HERC2P3,94,Lateral Occipital Cortex
OPCML,95,Lateral Occipital Cortex
TCF12,96,Lateral Occipital Cortex
WWOX,97,Lateral Occipital Cortex
MECOM,98,Lateral Occipital Cortex
NCAM2,99,Lateral Occipital Cortex
KAZN,100,Lateral Occipital Cortex
MALAT1,1,Lateral Temporal Gyrus
PCDH9,2,Lateral Temporal Gyrus
PTPRG,3,Lateral Temporal Gyrus
IL1RAPL1,4,Lateral Temporal Gyrus
ATP10A,5,Lateral Temporal Gyrus
PPP2R2B,6,Lateral Temporal Gyrus
RORA,7,Lateral Temporal Gyrus
DLG2,8,Lateral Temporal Gyrus
DLC1,9,Lateral Temporal Gyrus
MACF1,10,Lateral Temporal Gyrus
DSCAM,11,Lateral Temporal Gyrus
LAMA2,12,Lateral Temporal Gyrus
CTNNA3,13,Lateral Temporal Gyrus
DST,14,Lateral Temporal Gyrus
ST6GALNAC3,15,Lateral Temporal Gyrus
QKI,16,Lateral Temporal Gyrus
RNF220,17,Lateral Temporal Gyrus
FLT1,18,Lateral Temporal Gyrus
SLC6A1,19,Lateral Temporal Gyrus
NEAT1,20,Lateral Temporal Gyrus
LSAMP,21,Lateral Temporal Gyrus
FRMD4A,22,Lateral Temporal Gyrus
XIST,23,Lateral Temporal Gyrus
MAGI2,24,Lateral Temporal Gyrus
LRP1B,25,Lateral Temporal Gyrus
THSD4,26,Lateral Temporal Gyrus
TNR,27,Lateral Temporal Gyrus
SYNE1,28,Lateral Temporal Gyrus
ZBTB20,29,Lateral Temporal Gyrus
NRXN1,30,Lateral Temporal Gyrus
KCNIP4,31,Lateral Temporal Gyrus
OPCML,32,Lateral Temporal Gyrus
GPC5,33,Lateral Temporal Gyrus
NRXN3,34,Lateral Temporal Gyrus
PDE4B,35,Lateral Temporal Gyrus
CADM2,36,Lateral Temporal Gyrus
RBMS3,37,Lateral Temporal Gyrus
LRMDA,38,Lateral Temporal Gyrus
ATP1A2,39,Lateral Temporal Gyrus
CSMD1,40,Lateral Temporal Gyrus
LRRC4C,41,Lateral Temporal Gyrus
FTX,42,Lateral Temporal Gyrus
SLC26A3,43,Lateral Temporal Gyrus
LHFPL3,44,Lateral Temporal Gyrus
ST18,45,Lateral Temporal Gyrus
LHFPL6,46,Lateral Temporal Gyrus
NTM,47,Lateral Temporal Gyrus
ABCB1,48,Lateral Temporal Gyrus
SLC39A10,49,Lateral Temporal Gyrus
SLC44A1,50,Lateral Temporal Gyrus
SLC24A2,51,Lateral Temporal Gyrus
SIK3,52,Lateral Temporal Gyrus
LUC7L3,53,Lateral Temporal Gyrus
DPP10,54,Lateral Temporal Gyrus
CTNNA2,55,Lateral Temporal Gyrus
GPM6A,56,Lateral Temporal Gyrus
TRIM2,57,Lateral Temporal Gyrus
CALD1,58,Lateral Temporal Gyrus
AUTS2,59,Lateral Temporal Gyrus
AGAP1,60,Lateral Temporal Gyrus
PLXDC2,61,Lateral Temporal Gyrus
MECOM,62,Lateral Temporal Gyrus
PDE4D,63,Lateral Temporal Gyrus
ANKS1B,64,Lateral Temporal Gyrus
AFF3,65,Lateral Temporal Gyrus
PRKG1,66,Lateral Temporal Gyrus
PTPRD,67,Lateral Temporal Gyrus
FOXP1,68,Lateral Temporal Gyrus
FMNL2,69,Lateral Temporal Gyrus
FRMD5,70,Lateral Temporal Gyrus
ELOVL7,71,Lateral Temporal Gyrus
APBB2,72,Lateral Temporal Gyrus
ST6GAL1,73,Lateral Temporal Gyrus
UTRN,74,Lateral Temporal Gyrus
PTPRM,75,Lateral Temporal Gyrus
HSP90AA1,76,Lateral Temporal Gyrus
SGIP1,77,Lateral Temporal Gyrus
CACNA1C,78,Lateral Temporal Gyrus
DOCK4,79,Lateral Temporal Gyrus
CEMIP,80,Lateral Temporal Gyrus
ELMO1,81,Lateral Temporal Gyrus
PDZD2,82,Lateral Temporal Gyrus
TACC1,83,Lateral Temporal Gyrus
DNM3,84,Lateral Temporal Gyrus
HERC2P3,85,Lateral Temporal Gyrus
SLC7A14-AS1,86,Lateral Temporal Gyrus
WWOX,87,Lateral Temporal Gyrus
NPAS3,88,Lateral Temporal Gyrus
PTH1R,89,Lateral Temporal Gyrus
EBF1,90,Lateral Temporal Gyrus
ADGRB3,91,Lateral Temporal Gyrus
PIP4K2A,92,Lateral Temporal Gyrus
MOBP,93,Lateral Temporal Gyrus
MYRIP,94,Lateral Temporal Gyrus
ANK3,95,Lateral Temporal Gyrus
COBLL1,96,Lateral Temporal Gyrus
RBM25,97,Lateral Temporal Gyrus
VWF,98,Lateral Temporal Gyrus
KAZN,99,Lateral Temporal Gyrus
TJP1,100,Lateral Temporal Gyrus
MALAT1,1,Leptomeninges
PCDH9,2,Leptomeninges
NEAT1,3,Leptomeninges
CALD1,4,Leptomeninges
SLC4A4,5,Leptomeninges
CEMIP,6,Leptomeninges
HSP90AA1,7,Leptomeninges
KCNMA1,8,Leptomeninges
LSAMP,9,Leptomeninges
DST,10,Leptomeninges
RORA,11,Leptomeninges
MACF1,12,Leptomeninges
LUC7L3,13,Leptomeninges
TRPM3,14,Leptomeninges
GPM6A,15,Leptomeninges
LRP1B,16,Leptomeninges
LINC00486,17,Leptomeninges
ARGLU1,18,Leptomeninges
IL1RAPL1,19,Leptomeninges
FOXP1,20,Leptomeninges
PPP2R2B,21,Leptomeninges
LAMA2,22,Leptomeninges
CADM2,23,Leptomeninges
KAZN,24,Leptomeninges
RBM25,25,Leptomeninges
DLG2,26,Leptomeninges
TPM1,27,Leptomeninges
QKI,28,Leptomeninges
PNISR,29,Leptomeninges
SLC44A1,30,Leptomeninges
PRRC2C,31,Leptomeninges
UACA,32,Leptomeninges
NRXN1,33,Leptomeninges
CTNNA3,34,Leptomeninges
PTPRG,35,Leptomeninges
THSD4,36,Leptomeninges
MIR99AHG,37,Leptomeninges
AHNAK,38,Leptomeninges
BICC1,39,Leptomeninges
RNF220,40,Leptomeninges
CTNNA2,41,Leptomeninges
PTGDS,42,Leptomeninges
SYNE1,43,Leptomeninges
KCNIP4,44,Leptomeninges
DSP,45,Leptomeninges
NRG3,46,Leptomeninges
GPC6,47,Leptomeninges
SLC5A11,48,Leptomeninges
ARL15,49,Leptomeninges
CACNB2,50,Leptomeninges
SIK3,51,Leptomeninges
SLC24A2,52,Leptomeninges
NPAS3,53,Leptomeninges
FTX,54,Leptomeninges
MAGI2,55,Leptomeninges
DSCAM,56,Leptomeninges
ZBTB20,57,Leptomeninges
SRRM2,58,Leptomeninges
FLT1,59,Leptomeninges
CACNA2D3,60,Leptomeninges
AKAP12,61,Leptomeninges
STOX2,62,Leptomeninges
PDE4D,63,Leptomeninges
NTM,64,Leptomeninges
MSI2,65,Leptomeninges
ELN,66,Leptomeninges
PITPNC1,67,Leptomeninges
TJP1,68,Leptomeninges
SGIP1,69,Leptomeninges
AKAP9,70,Leptomeninges
FMNL2,71,Leptomeninges
SYNE2,72,Leptomeninges
ADAMTSL3,73,Leptomeninges
COL11A1,74,Leptomeninges
SORBS1,75,Leptomeninges
MECOM,76,Leptomeninges
NCAM2,77,Leptomeninges
FBXL7,78,Leptomeninges
TRIM2,79,Leptomeninges
WWOX,80,Leptomeninges
FRMD4A,81,Leptomeninges
ADGRB3,82,Leptomeninges
SNHG14,83,Leptomeninges
GPC5,84,Leptomeninges
MAP1B,85,Leptomeninges
TNR,86,Leptomeninges
UTRN,87,Leptomeninges
ATP1A2,88,Leptomeninges
UNC5C,89,Leptomeninges
RBFOX1,90,Leptomeninges
PRKG1,91,Leptomeninges
LPP,92,Leptomeninges
ALCAM,93,Leptomeninges
PHLDB2,94,Leptomeninges
ZFHX3,95,Leptomeninges
AHCYL2,96,Leptomeninges
ERBB4,97,Leptomeninges
SLC1A2,98,Leptomeninges
SNED1,99,Leptomeninges
SVIL,100,Leptomeninges
MALAT1,1,Lingual Gyrus
PCDH9,2,Lingual Gyrus
IL1RAPL1,3,Lingual Gyrus
RNF220,4,Lingual Gyrus
QKI,5,Lingual Gyrus
KCNIP4,6,Lingual Gyrus
PPP2R2B,7,Lingual Gyrus
DLG2,8,Lingual Gyrus
CTNNA3,9,Lingual Gyrus
MACF1,10,Lingual Gyrus
LSAMP,11,Lingual Gyrus
DSCAM,12,Lingual Gyrus
CADM2,13,Lingual Gyrus
RBFOX1,14,Lingual Gyrus
LRP1B,15,Lingual Gyrus
SLC44A1,16,Lingual Gyrus
NRXN3,17,Lingual Gyrus
NRXN1,18,Lingual Gyrus
CTNNA2,19,Lingual Gyrus
LUC7L3,20,Lingual Gyrus
CSMD1,21,Lingual Gyrus
RORA,22,Lingual Gyrus
MAGI2,23,Lingual Gyrus
PTPRG,24,Lingual Gyrus
DST,25,Lingual Gyrus
FLT1,26,Lingual Gyrus
SNHG14,27,Lingual Gyrus
SLC1A2,28,Lingual Gyrus
DPP10,29,Lingual Gyrus
PITPNC1,30,Lingual Gyrus
FRMD4A,31,Lingual Gyrus
PDE4B,32,Lingual Gyrus
ATP10A,33,Lingual Gyrus
NTM,34,Lingual Gyrus
SIK3,35,Lingual Gyrus
MT-ND4,36,Lingual Gyrus
GPM6A,37,Lingual Gyrus
NEAT1,38,Lingual Gyrus
RBM25,39,Lingual Gyrus
TNR,40,Lingual Gyrus
FRMD5,41,Lingual Gyrus
SLC24A2,42,Lingual Gyrus
ZBTB20,43,Lingual Gyrus
TRIM2,44,Lingual Gyrus
SLC5A11,45,Lingual Gyrus
LRRC4C,46,Lingual Gyrus
OPCML,47,Lingual Gyrus
FMNL2,48,Lingual Gyrus
NPAS3,49,Lingual Gyrus
DLC1,50,Lingual Gyrus
ST18,51,Lingual Gyrus
LHFPL3,52,Lingual Gyrus
ADGRB3,53,Lingual Gyrus
PLXDC2,54,Lingual Gyrus
ERBB4,55,Lingual Gyrus
PRRC2C,56,Lingual Gyrus
NRG3,57,Lingual Gyrus
ADARB2,58,Lingual Gyrus
MT-CO3,59,Lingual Gyrus
MT-CO2,60,Lingual Gyrus
NLGN1,61,Lingual Gyrus
SYNE1,62,Lingual Gyrus
LRRTM4,63,Lingual Gyrus
GNG7,64,Lingual Gyrus
ARGLU1,65,Lingual Gyrus
ANKS1B,66,Lingual Gyrus
AGAP1,67,Lingual Gyrus
MOBP,68,Lingual Gyrus
SLC6A1,69,Lingual Gyrus
PTPRD,70,Lingual Gyrus
SLC39A10,71,Lingual Gyrus
KAZN,72,Lingual Gyrus
NCAM2,73,Lingual Gyrus
GPC5,74,Lingual Gyrus
DOCK4,75,Lingual Gyrus
ELMO1,76,Lingual Gyrus
CALD1,77,Lingual Gyrus
FTX,78,Lingual Gyrus
SGIP1,79,Lingual Gyrus
CTNND2,80,Lingual Gyrus
LAMA2,81,Lingual Gyrus
DNM3,82,Lingual Gyrus
PHLPP1,83,Lingual Gyrus
NKAIN2,84,Lingual Gyrus
MAP7,85,Lingual Gyrus
PDZD2,86,Lingual Gyrus
ATP1A2,87,Lingual Gyrus
MMD2,88,Lingual Gyrus
PALM2AKAP2,89,Lingual Gyrus
ADGRL3,90,Lingual Gyrus
STOX2,91,Lingual Gyrus
TMTC2,92,Lingual Gyrus
ST6GALNAC3,93,Lingual Gyrus
PIP4K2A,94,Lingual Gyrus
POLR2F,95,Lingual Gyrus
CNTNAP2,96,Lingual Gyrus
DLGAP1,97,Lingual Gyrus
AUTS2,98,Lingual Gyrus
FRMD4B,99,Lingual Gyrus
HERC2P3,100,Lingual Gyrus
MALAT1,1,Midbrain
PCDH9,2,Midbrain
RNF220,3,Midbrain
IL1RAPL1,4,Midbrain
PPP2R2B,5,Midbrain
CTNNA3,6,Midbrain
QKI,7,Midbrain
DLG2,8,Midbrain
SLC44A1,9,Midbrain
SLC5A11,10,Midbrain
ST18,11,Midbrain
RBFOX1,12,Midbrain
SLC24A2,13,Midbrain
FMNL2,14,Midbrain
MAGI2,15,Midbrain
MOBP,16,Midbrain
DST,17,Midbrain
PDE4B,18,Midbrain
SLC7A14-AS1,19,Midbrain
MBP,20,Midbrain
NRXN3,21,Midbrain
CADM2,22,Midbrain
GNG7,23,Midbrain
NKAIN2,24,Midbrain
MACF1,25,Midbrain
ELMO1,26,Midbrain
NTM,27,Midbrain
FRMD5,28,Midbrain
PTPRG,29,Midbrain
HSP90AA1,30,Midbrain
NEAT1,31,Midbrain
SIK3,32,Midbrain
DOCK10,33,Midbrain
PIP4K2A,34,Midbrain
PTPRD,35,Midbrain
ZBTB20,36,Midbrain
XIST,37,Midbrain
MAN2A1,38,Midbrain
LUC7L3,39,Midbrain
TRIM2,40,Midbrain
PLCL1,41,Midbrain
WWOX,42,Midbrain
MAP7,43,Midbrain
LRP1B,44,Midbrain
RORA,45,Midbrain
DPYD,46,Midbrain
DLC1,47,Midbrain
MT-ND4,48,Midbrain
CALD1,49,Midbrain
ARGLU1,50,Midbrain
TMTC2,51,Midbrain
FRMD4A,52,Midbrain
ARL15,53,Midbrain
FLT1,54,Midbrain
FRMD4B,55,Midbrain
PRRC2C,56,Midbrain
DNM3,57,Midbrain
LINC00486,58,Midbrain
PHLPP1,59,Midbrain
NCAM2,60,Midbrain
NCKAP5,61,Midbrain
ATP10A,62,Midbrain
UNC5C,63,Midbrain
TMEM165,64,Midbrain
NPAS3,65,Midbrain
POLR2F,66,Midbrain
AGAP1,67,Midbrain
ST6GALNAC3,68,Midbrain
LSAMP,69,Midbrain
DOCK4,70,Midbrain
TCF12,71,Midbrain
SRCIN1,72,Midbrain
APBB2,73,Midbrain
MAP1B,74,Midbrain
RBM25,75,Midbrain
NCAM1,76,Midbrain
FHIT,77,Midbrain
PALM2AKAP2,78,Midbrain
PLXDC2,79,Midbrain
MT-CO2,80,Midbrain
SLC6A1,81,Midbrain
LMCD1-AS1,82,Midbrain
AUTS2,83,Midbrain
DIP2B,84,Midbrain
DSCAM,85,Midbrain
SGIP1,86,Midbrain
ZEB2,87,Midbrain
PLEKHH1,88,Midbrain
CNTNAP4,89,Midbrain
ENSG00000286749,90,Midbrain
KIRREL3,91,Midbrain
MECOM,92,Midbrain
ANKS1B,93,Midbrain
KCNIP4,94,Midbrain
FTX,95,Midbrain
CLASP2,96,Midbrain
LAMA2,97,Midbrain
DSCAML1,98,Midbrain
HIP1,99,Midbrain
TTLL7,100,Midbrain
MALAT1,1,Middle Cerebral Artery
PDE4D,2,Middle Cerebral Artery
